word,verdict,note,marks
xanthamide,noun,the amide of xanthic acid,
xanthan,noun,a polysaccharide made by bacterial fermentation and used as a thickener and stabiliser,
xanthatin,noun,"a plant compound of the xanthanolide group, active against microbes",
xanthation,noun,the conversion of cellulose into a xanthate in the making of rayon,
xanthium,name,"the cockleburs, a genus of coarse prickly plants",
xanthoceratitis,noun,inflammation of the cornea with a yellow discoloration,
xanthochroia,noun,a yellow patching of the skin or mucous membranes,
xanthochromia,noun,a yellow discoloration of the cerebrospinal fluid caused by broken-down blood,
xanthocobalt,noun,a yellow cobalt ammine complex,
xanthocone,noun,"a rare mineral of silver, arsenic and sulfur",
xanthoconite,noun,"a rare mineral of silver, arsenic and sulfur",
xanthocreatinine,noun,a toxic crystalline compound obtained from muscle tissue,
xanthocroite,noun,an orange-yellow cadmium sulfide mineral,
xanthocyanopia,noun,a colour blindness in which only yellow and blue are seen,
xanthocyanopsy,noun,a colour blindness in which yellow and blue cannot be told apart,
xanthoderma,noun,a yellow colouring of the skin,
xanthodont,noun,a person or animal with yellow teeth,
xanthogen,noun,the radical that takes part in the reactions of xanthic acid,
xantholeucophore,noun,a pigment cell holding both yellow and white crystals,
xanthomelania,noun,an abnormal yellow and dark pigmentation of the tissues,
xanthone,noun,an organic compound used in dyes and pharmaceuticals,
xanthopathy,noun,a disease marked by a yellow discoloration of the tissues,
xanthophore,noun,a yellow pigment-bearing cell in the skin of some cold-blooded animals,
xanthophyllite,noun,a brittle yellowish mineral of the mica group,
xanthopicrite,noun,a bitter yellow alkaloid taken from the bark of the prickly ash,
xanthoplast,noun,a yellow pigment body in a plant cell,
xanthopolycyst,noun,a cyst holding yellow cellular material,
xanthoprotein,noun,the yellow substance formed when a protein reacts with nitric acid,
xanthopsin,noun,the yellow pigment formed in the retina during vision,
xanthopterin,noun,a yellow crystalline pigment found in butterfly wings and in mammal urine,
xanthopurpurin,noun,a yellow crystalline dye obtained from madder root,
xanthosiderite,noun,a yellow hydrous iron oxide mineral,
xanthotoxin,noun,a plant compound used to treat vitiligo and other skin disorders,
xenagogue,noun,a guide who conducts strangers or visitors,
xenagogy,noun,the guiding of foreign visitors,
xenarthran,noun,"a placental mammal of the group containing sloths, armadillos and anteaters",
xenoaggressor,noun,an invading agent that comes from outside the system it attacks,
xenoantibody,noun,an antibody raised against an antigen from another species,
xenoantigen,noun,an antigen from another species that provokes an immune response,
xenobiologist,noun,a scientist who studies life beyond the Earth,
xenobiology,noun,the study of alien or non-terrestrial biological systems,
xenobiotic,noun,a chemical compound foreign to a living organism or an ecosystem,
xenoblast,noun,a crystal grown within a metamorphic rock without developed external faces,
xenocentrism,noun,"a preference for the products, styles and ideas of another culture over one's own",
xenoceratite,name,an extinct cephalopod of the ceratite group,
xenoceratopsian,name,a horned dinosaur of the genus Xenoceratops,
xenocide,noun,the extermination of an entire alien species or foreign population,
xenocline,noun,a gradient in a population produced by the presence of a foreign species,
xenocracy,noun,government or rule by foreigners,
xenocrat,noun,an official of a government run by foreigners,
xenocrypt,noun,a cryptogram written in a language other than the solver's own,
xenocryptography,noun,the deciphering of ciphers written in a foreign language,
xenocurrency,noun,money deposited in a bank outside the country that issued it,
xenoderm,noun,an abnormal or foreign layer of skin,
xenodiagnosis,noun,diagnosis of a parasitic infection by feeding uninfected vector organisms on the patient,
xenodiagnostician,noun,a specialist who uses xenodiagnosis to identify an infection,
xenodocheionology,noun,the study and lore of inns and hotels,
xenodochium,noun,a building set aside to receive strangers and pilgrims,
xenodochy,noun,hospitality shown to strangers,
xenodrug,noun,a drug foreign to the body that takes it,
xenoepigenetics,noun,the study of how foreign or environmental agents alter gene expression,
xenoestrogen,noun,a compound that mimics the effects of estrogen in the body,
xenoform,noun,a lifeform or structure of foreign origin,
xenogam,noun,a plant raised by cross-fertilisation with a separate individual,
xenogen,noun,a substance or agent that originates outside the organism,
xenogenote,noun,a host cell carrying a fragment of foreign genetic material,
xenoglossy,noun,the claimed ability to speak or write a language the speaker has never learnt,
xenografting,noun,the grafting of tissue from one species onto another,
xenohormone,noun,a compound from outside the body that acts like a hormone,
xenohypnosis,noun,hypnosis brought on by an outside agent,
xenoimmunity,noun,an immune response raised against tissue or cells of another species,
xenolalia,noun,the speaking of a language the speaker has never learnt,
xenolithology,noun,the study of the rock fragments carried in magma or igneous rock,
xenologist,noun,a scientist whose field is the study of extraterrestrial life,
xenology,noun,"the study of extraterrestrial life, biology and materials",
xenomania,noun,"an extreme enthusiasm for foreign customs, people or objects",
xenomaterial,noun,a synthetic material with no natural counterpart,
xenomelanite,noun,a dark mineral carrying inclusions of foreign minerals,
xenomenia,noun,menstrual bleeding from a part of the body other than the uterus,
xenometer,noun,an instrument for detecting foreign gases or radiation,
xenomorph,noun,"a form or entity that is abnormal, foreign or unlike its surroundings",
xenomorphy,noun,the state of having an abnormal or foreign form,
xenoorganism,noun,an organism of foreign or engineered origin,
xenoparasite,noun,a parasite living on a host it does not normally infest,
xenopath,noun,a person with an illness brought on by a foreign agent,
xenopeltid,noun,a burrowing sunbeam snake of the family Xenopeltidae,
xenophile,noun,"a person who is drawn to foreign peoples, cultures or things",
xenophilia,noun,"a liking for foreign peoples, cultures or customs",
xenophthalmia,noun,inflammation of the eye caused by foreign matter in it,
xenophytism,noun,the establishment of plant species brought in from elsewhere,
xenoplast,noun,a foreign cell structure embedded in host tissue,
xenoplasty,noun,the transplanting of tissue between different species,
xenops,noun,a small tropical bird of the American rainforests that pries bark for insects,
xenoreaction,noun,the rejection reaction of a body to tissue from another species,
xenoreceptor,noun,a receptor that binds foreign molecules,
xenozoonosis,noun,an infection passed from an animal to a human by a transplanted organ,
xerarch,adj,of an ecological succession that begins in a very dry habitat,
xeriscape,noun,a garden or landscape planned to need very little water,
xerobasia,noun,abnormal dryness and brittleness of the hair,
xerobiont,noun,an organism adapted to life in very dry surroundings,
xerochasia,noun,the opening of seed capsules brought on by dry air,
xerochasium,noun,the opening of a seed capsule brought on by drying,
xerochasma,noun,a crack in the skin caused by severe dryness,
xerocheilia,noun,dryness and chapping of the lips,
xerochory,noun,the dispersal of seeds brought on by dry weather,
xeroclime,noun,a local climate marked by severe dryness,
xerocopy,noun,a copy of printed matter made by xerography,
xerodermatosis,noun,"a skin disease marked by extreme dryness, cracking and scaling",
xerogel,noun,"a solid gel formed by drying with unhindered shrinkage, such as silica gel",
xerogram,noun,an image produced by xeroradiography,
xerograph,noun,a copy produced by xerography,
xeromammography,noun,mammography that records the X-ray image by a xerographic plate,
xeromorphism,noun,the structural adaptation of a plant to withstand drought,
xeromorphy,noun,the possession of anatomical features that resist drought,
xeromucin,noun,a dried mucous secretion,
xeroorganism,noun,an organism able to function on very little water,
xerophilism,noun,the adaptation of an organism to life in dry conditions,
xerophilist,noun,an organism that prefers dry surroundings,
xerophily,noun,the capacity of an organism to thrive in very dry conditions,
xerophobicity,noun,the tendency of an organism or material to avoid dry conditions,
xeropoiesis,noun,the making of an arid environment,
xeropolium,noun,a dry heathland or grassland plant community,
xerotripsis,noun,the rubbing of the skin without a lubricant,
xiphias,noun,the swordfish,
xiphiid,noun,a fish of the swordfish family,
xiphiplastron,noun,the rearmost pair of bony plates in the lower shell of a turtle,
xiphodynia,noun,pain in the region of the xiphoid process,
xiphoid,noun,the cartilaginous lower portion of the human sternum,
xiphoiditis,noun,inflammation of the xiphoid process,
xiphopagus,noun,conjoined twins joined at the xiphoid cartilage,
xiphophyll,noun,a leaf shaped like a sword blade,
xiphosuran,noun,an aquatic arthropod of the order that contains the horseshoe crabs,
xiphosurida,name,the order of aquatic arthropods that contains the horseshoe crabs,
xylan,noun,a carbohydrate polymer found in the cell walls of plants,
xylanase,noun,an enzyme that breaks down the plant carbohydrate xylan,
xylaria,name,"a genus of wood-rotting fungi, the dead man's fingers",
xylase,noun,an enzyme that breaks down the wood sugars of xylan,
xyleborus,name,a genus of ambrosia beetles that bore into timber,
xylenol,noun,a crystalline phenol derived from xylene and used in disinfectants,
xyletinus,name,a genus of wood-boring beetles of the family Ptinidae,
xylite,noun,a fibrous lignite that keeps the texture of the wood it formed from,
xylitol,noun,"a sugar alcohol used as a low-calorie sweetener in food, chewing gum and dental products",
xylobius,name,an extinct genus of wood-dwelling arthropods,
xylocarp,noun,"a hard woody fruit, such as a coconut",
xylochlorin,noun,a green chlorophyll-like pigment obtained from wood,
xylochlorite,noun,a fibrous green mineral with a grain resembling wood,
xylocopa,name,"the carpenter bees, a genus that nests in dead wood",
xylocore,noun,the central wood of a trunk or stem,
xylogen,noun,"forming wood tissue, or the lignin laid down in it",
xyloglucan,noun,the chief hemicellulose of the primary cell wall of plants,
xyloglyphy,noun,the art of carving in wood,
xylographer,noun,an engraver or printmaker who cuts blocks of wood,
xylographist,noun,an artist or printmaker who engraves on wood,
xyloid,adj,resembling wood in structure,
xyloidin,noun,an explosive made by treating starch or wood with nitric acid,
xylolith,noun,"a building material made from wood fibre, magnesium oxide and cement",
xylology,noun,"the study of the structure, growth and properties of wood",
xyloma,noun,a hard woody tumour or fungal crust on a plant,
xylomancy,noun,divination by examining pieces of wood,
xylometazoline,noun,a drug used as a nasal decongestant,
xylomorph,noun,a fossil or structure that has the form of wood,
xylon,noun,wood as a raw material,
xylonite,noun,an early celluloid plastic used as a substitute for ivory,
xylonium,noun,a vessel or structure made of timber,
xylophaea,noun,a dark brown resinous pigment found in rotting wood,
xylophaga,name,a genus of deep-sea bivalve molluscs that bore into sunken wood,
xylophagid,noun,a fly of the wood-boring family Xylophagidae,
xylophagist,noun,an animal that feeds mainly on wood,
xylophagy,noun,"the eating of wood, as by termites",
xylophil,noun,an organism that lives on or feeds on wood,
xylophile,noun,an organism that lives on or feeds on wood,
xylophilist,noun,a person with a strong liking for wood and wooden things,
xylophobia,noun,a fear of forests or of wooden objects,
xylophytia,noun,woody vegetation characteristic of dry country,
xylopolist,noun,a dealer in timber and wood products,
xyloprotein,noun,a protein bound to the hemicellulose of wood,
xylopyrography,noun,the art of burning pictures or patterns into wood,
xyloquinone,noun,a crystalline quinone obtained from xylene,
xylorimba,noun,a percussion instrument combining the ranges of a xylophone and a marimba,
xylosazone,noun,a crystalline derivative formed from the sugar xylose,
xylosis,noun,the hardening of tissue into wood,
xylostein,noun,a bitter poisonous glucoside from the berries of the honeysuckle,
xylostroma,noun,a felted mass of fungal tissue formed between layers of rotting wood,
xylotherapy,noun,the treatment of disease by applying particular woods to the body,
xylotomist,noun,a person who cuts thin sections of wood for study under a microscope,
xylozyme,noun,an enzyme that breaks down the fibres of wood,
xylulose,noun,a ketose sugar taking part in carbohydrate metabolism,
xylyl,noun,a univalent radical derived from xylene,
xylylchloride,noun,an organic compound derived from xylene and used in synthesis,
xylylene,noun,a hydrocarbon radical derived from xylene,
xyst,noun,a covered walk where athletes of ancient Greece trained,
xyston,noun,a long thrusting spear carried by ancient Greek cavalry,
xystus,noun,a covered portico or garden walk in classical Greek and Roman architecture,
